date, cputemp[degree], cpuload[%], ramUsed[%], diskspaceLeft[%], doIHaveInternet, transferedBytes, arePackagesUpdated
Sun Jun 4 10:14:01 AM CEST 2023, 84, 67.3, 75.5359, 15, 1, 6710585, Yes
Sun Jun 4 10:15:01 AM CEST 2023, 79, 30.0, 75.8782, 15, 1, 7760516, Yes
Sun Jun 4 10:16:01 AM CEST 2023, 76, 41.9, 75.7257, 15, 1, 8569875, Yes
Sun Jun 4 10:17:01 AM CEST 2023, 77, 26.1, 75.6043, 15, 1, 9830345, Yes
Sun Jun 4 10:18:01 AM CEST 2023, 80, 70.7, 82.6866, 15, 1, 84537, Yes
Sun Jun 4 10:20:54 AM CEST 2023, 72, 29.2, 82.0685, 15, Sun Jun 4 10:20:56 AM CEST 2023, 74, 43.6, 81.9379, 15, 1, 1141074, Yes
1, 1170943, Yes
Sun Jun 4 10:21:00 AM CEST 2023, 74, 30.4, 81.3818, 15, 1, 1254387, Yes
Sun Jun 4 10:22:01 AM CEST 2023, 73, 44.0, 82.0084, 15, 1, 2046331, Yes
Sun Jun 4 10:23:01 AM CEST 2023, 74, 25.3, 82.0876, 15, 1, 2849678, Yes
Sun Jun 4 10:24:01 AM CEST 2023, 73, 47.3, 82.103, 15, 1, 3699120, Yes
Sun Jun 4 10:25:01 AM CEST 2023, 80, 45.1, 77.2759, 15, 1, 5529776, Yes
Sun Jun 4 10:26:01 AM CEST 2023, 82, 63.9, 79.2229, 15, 1, 6491950, Yes
Sun Jun 4 10:28:53 AM CEST 2023, 74, 25.3, 78.7287, 15, Sun Jun 4 10:28:55 AM CEST 2023, 76, 46.2, 78.6807, 15, 1, 365867, Yes
1, 396624, Yes
Sun Jun 4 10:29:00 AM CEST 2023, 77, 41.8, 78.6251, 15, 1, 462876, Yes
Sun Jun 4 10:30:01 AM CEST 2023, 76, 58.0, 81.8455, 15, 1, 1686270, Yes
Sun Jun 4 10:31:01 AM CEST 2023, 82, 57.6, 77.4724, 15, 1, 3590458, Yes
Sun Jun 4 10:32:01 AM CEST 2023, 83, 65.8, 78.5866, 15, 1, 4508455, Yes
Sun Jun 4 10:33:01 AM CEST 2023, 83, 49.5, 78.3159, 15, 1, 5608792, Yes
Sun Jun 4 10:34:01 AM CEST 2023, 75, 42.4, 78.1785, 15, 1, 6423651, Yes
Sun Jun 4 10:35:01 AM CEST 2023, 81, 26.7, 78.9373, 15, 1, 326014, Yes
Sun Jun 4 10:36:24 AM CEST 2023, 75, 44.0, 82.0635, 15, 1, 1469152, Yes
Sun Jun 4 10:37:01 AM CEST 2023, 75, 26.4, 81.9517, 15, 1, 1986170, Yes
Sun Jun 4 10:38:01 AM CEST 2023, 74, 46.2, 82.0276, 15, 1, 2726528, Yes
Sun Jun 4 10:40:23 AM CEST 2023, 76, 45.8, 80.5422, 15, 1, 676346, Yes
Sun Jun 4 10:41:01 AM CEST 2023, 77, 27.3, 82.3036, 15, 1, 1522670, Yes
Sun Jun 4 10:42:01 AM CEST 2023, 77, 60.6, 81.83, 15, 1, 2385071, Yes
Sun Jun 4 10:43:01 AM CEST 2023, 77, 50.0, 81.4354, 15, 1, 3265089, Yes
Sun Jun 4 10:44:01 AM CEST 2023, 76, 44.7, 82.192, 15, 1, 4097906, Yes
Sun Jun 4 10:45:01 AM CEST 2023, 76, 27.9, 82.2034, 15, 1, 4979757, Yes
Sun Jun 4 10:46:01 AM CEST 2023, 76, 60.0, 81.7521, 15, 1, 5908222, Yes
Sun Jun 4 10:47:01 AM CEST 2023, 77, 26.4, 82.1764, 15, 1, 6822430, Yes
Sun Jun 4 10:48:01 AM CEST 2023, 77, 64.4, 81.9242, 15, 1, 7788618, Yes
Sun Jun 4 10:49:01 AM CEST 2023, 76, 26.1, 82.3298, 15, 1, 8682585, Yes
Sun Jun 4 10:50:01 AM CEST 2023, 76, 43.5, 82.3683, 15, 1, 9528515, Yes
Sun Jun 4 10:51:01 AM CEST 2023, 77, 25.0, 81.6586, 15, 1, 10430620, Yes
Sun Jun 4 10:52:01 AM CEST 2023, 78, 46.5, 82.3705, 15, 1, 11327441, Yes
Sun Jun 4 10:53:01 AM CEST 2023, 78, 33.3, 82.2896, 15, 1, 12304175, Yes
Sun Jun 4 10:54:01 AM CEST 2023, 78, 44.2, 82.1087, 15, 1, 13184010, Yes
Sun Jun 4 10:55:01 AM CEST 2023, 77, 24.7, 82.2981, 15, 1, 14162586, Yes
Sun Jun 4 10:56:01 AM CEST 2023, 80, 71.2, 81.8914, 15, 1, 15089756, Yes
Sun Jun 4 10:57:01 AM CEST 2023, 77, 26.7, 82.2202, 15, 1, 16110686, Yes
Sun Jun 4 10:58:01 AM CEST 2023, 78, 46.7, 82.0294, 15, 1, 16996404, Yes
Sun Jun 4 10:59:01 AM CEST 2023, 78, 24.4, 81.4351, 15, 1, 17886025, Yes
Sun Jun 4 11:00:01 AM CEST 2023, 78, 40.7, 82.0573, 15, 1, 18789128, Yes
Sun Jun 4 11:01:01 AM CEST 2023, 82, 69.5, 82.0172, 15, 1, 19917211, Yes
Sun Jun 4 11:02:01 AM CEST 2023, 77, 43.5, 81.988, 15, 1, 20767012, Yes
Sun Jun 4 11:03:01 AM CEST 2023, 78, 24.4, 81.2054, 15, 1, 23294780, Yes
Sun Jun 4 11:04:01 AM CEST 2023, 78, 59.4, 81.744, 15, 1, 24314548, Yes
Sun Jun 4 11:05:01 AM CEST 2023, 78, 25.6, 81.9014, 15, 1, 25565301, Yes
Sun Jun 4 11:06:01 AM CEST 2023, 77, 59.6, 81.4353, 15, 1, 29540736, Yes
Sun Jun 4 11:07:01 AM CEST 2023, 77, 23.9, 82.0135, 15, 1, 38338152, Yes
Sun Jun 4 11:08:01 AM CEST 2023, 78, 58.4, 81.7968, 15, 1, 39235763, Yes
Sun Jun 4 11:09:01 AM CEST 2023, 78, 31.2, 82.0219, 15, 1, 43605980, Yes
Sun Jun 4 11:10:02 AM CEST 2023, 76, 47.9, 81.9942, 15, 1, 44555048, Yes
Sun Jun 4 11:11:01 AM CEST 2023, 78, 48.3, 82.0513, 15, 1, 48618087, Yes
Sun Jun 4 11:12:01 AM CEST 2023, 77, 44.7, 81.2068, 15, 1, 50275445, Yes
Sun Jun 4 11:13:01 AM CEST 2023, 78, 23.9, 81.1908, 15, 1, 51247312, Yes
Sun Jun 4 11:14:01 AM CEST 2023, 78, 58.9, 81.6435, 15, 1, 52113150, Yes
Sun Jun 4 11:15:01 AM CEST 2023, 76, 47.3, 82.1291, 15, 1, 53024625, Yes
Sun Jun 4 11:16:01 AM CEST 2023, 77, 46.7, 82.169, 15, 1, 53924141, Yes
Sun Jun 4 11:17:01 AM CEST 2023, 76, 41.6, 81.8601, 15, 1, 54772476, Yes
Sun Jun 4 11:18:01 AM CEST 2023, 77, 46.1, 82.3112, 15, 1, 55609169, Yes
Sun Jun 4 11:19:01 AM CEST 2023, 77, 28.7, 81.7422, 15, 1, 56470570, Yes
Sun Jun 4 11:20:01 AM CEST 2023, 77, 60.4, 81.7703, 15, 1, 57305809, Yes
Sun Jun 4 11:21:01 AM CEST 2023, 75, 27.4, 82.3611, 15, 1, 58148472, Yes
Sun Jun 4 11:22:01 AM CEST 2023, 77, 60.0, 82.0528, 15, 1, 60138872, Yes
Sun Jun 4 11:23:01 AM CEST 2023, 78, 30.2, 81.4315, 15, 1, 61034682, Yes
Sun Jun 4 11:24:01 AM CEST 2023, 84, 73.4, 82.7092, 15, 1, 61775792, Yes
Sun Jun 4 11:25:01 AM CEST 2023, 85, 63.5, 81.0031, 15, 1, 62071934, Yes
Sun Jun 4 11:26:01 AM CEST 2023, 84, 71.4, 79.7437, 15, 0, 62561848, Yes
Sun Jun 4 11:27:01 AM CEST 2023, 85, 70.6, 78.1239, 15, 0, 63464697, Yes
Sun Jun 4 11:28:02 AM CEST 2023, 85, 66.3, 77.525, 15, 0, 63843564, Yes
Sun Jun 4 11:29:01 AM CEST 2023, 85, 69.3, 75.9905, 15, 0, 64198011, Yes
Sun Jun 4 11:30:01 AM CEST 2023, 85, 68.9, 71.3625, 15, 0, 64520377, Yes
Sun Jun 4 11:31:01 AM CEST 2023, 84, 69.7, 71.4126, 15, 0, 64805923, Yes
Sun Jun 4 11:32:02 AM CEST 2023, 85, 68.4, 70.652, 15, 0, 65662109, Yes
