date, cputemp[degree], cpuload[%], ramUsed[%], diskspaceLeft[%], doIHaveInternet, transferedBytes, arePackagesUpdated
Sun Jun 4 01:37:01 PM CEST 2023, 85, 56.7, 74.4978, 15, 0, 4975826, Yes
Sun Jun 4 01:38:01 PM CEST 2023, 84, 62.1, 74.7545, 15, 0, 5800296, Yes
Sun Jun 4 01:32:01 PM CEST 2023, 82, 56.6, 86.9899, 15, 0, 290087, Yes
Sun Jun 4 01:33:01 PM CEST 2023, 83, 40.2, 79.7577, 15, 0, 1111660, Yes
Sun Jun 4 01:34:01 PM CEST 2023, 85, 65.0, 74.3082, 15, 0, 2598030, Yes
Sun Jun 4 01:35:01 PM CEST 2023, 85, 61.5, 75.2446, 15, 0, 3294171, Yes
Sun Jun 4 01:36:01 PM CEST 2023, 84, 67.4, 76.6783, 15, 0, 3962455, Yes
Sun Jun 4 01:37:01 PM CEST 2023, 82, 25.0, 76.4481, 15, 0, 4836667, Yes
Sun Jun 4 01:38:01 PM CEST 2023, 81, 59.4, 76.0919, 15, 0, 5693876, Yes
Sun Jun 4 01:39:01 PM CEST 2023, 80, 32.3, 76.2704, 15, 0, 6545392, Yes
Sun Jun 4 01:40:01 PM CEST 2023, 80, 54.4, 76.1689, 15, 0, 7419956, Yes
Sun Jun 4 01:41:01 PM CEST 2023, 79, 24.4, 76.3139, 15, 0, 8278741, Yes
Sun Jun 4 01:42:01 PM CEST 2023, 79, 48.4, 75.4875, 15, 0, 9168275, Yes
Sun Jun 4 01:43:01 PM CEST 2023, 79, 27.0, 76.2986, 15, 0, 10022380, Yes
Sun Jun 4 01:44:01 PM CEST 2023, 79, 62.7, 75.9796, 15, 0, 10912768, Yes
Sun Jun 4 01:55:44 PM CEST 2023, 79, 27.2, 76.1328, 15, 1, 15848452, Yes
Sun Jun 4 01:56:01 PM CEST 2023, 80, 62.8, 76.0161, 15, 1, 16107515, Yes
Sun Jun 4 01:57:01 PM CEST 2023, 79, 23.9, 76.3879, 15, 1, 37393662, Yes
Sun Jun 4 01:58:01 PM CEST 2023, 79, 59.3, 76.0322, 15, 1, 42105721, Yes
Sun Jun 4 01:59:01 PM CEST 2023, 79, 23.3, 76.0815, 15, 1, 72589553, Yes
Sun Jun 4 02:00:01 PM CEST 2023, 81, 48.5, 75.244, 15, 1, 127574500, Yes
Sun Jun 4 02:01:01 PM CEST 2023, 79, 26.1, 75.9911, 15, 1, 182002529, Yes
Sun Jun 4 02:02:01 PM CEST 2023, 80, 56.1, 75.1728, 15, 1, 235954272, Yes
Sun Jun 4 02:03:01 PM CEST 2023, 80, 45.3, 75.6724, 15, 1, 253606653, Yes
Sun Jun 4 02:04:01 PM CEST 2023, 79, 64.8, 75.7566, 15, 1, 254497099, Yes
Sun Jun 4 02:05:01 PM CEST 2023, 79, 24.7, 75.4701, 15, 1, 256575985, Yes
Sun Jun 4 02:06:01 PM CEST 2023, 79, 49.5, 76.1583, 15, 1, 259082943, Yes
Sun Jun 4 02:07:01 PM CEST 2023, 79, 44.2, 76.1465, 15, 1, 260012566, Yes
Sun Jun 4 02:08:01 PM CEST 2023, 80, 43.8, 75.9147, 15, 1, 260914560, Yes
Sun Jun 4 02:09:02 PM CEST 2023, 79, 38.0, 76.1533, 15, 1, 262035655, Yes
Sun Jun 4 02:10:01 PM CEST 2023, 79, 47.9, 75.2675, 15, 1, 284515421, Yes
Sun Jun 4 02:11:01 PM CEST 2023, 79, 26.7, 75.9734, 15, 1, 300183402, Yes
Sun Jun 4 02:12:01 PM CEST 2023, 80, 44.4, 75.2181, 15, 1, 307184540, Yes
Sun Jun 4 02:13:01 PM CEST 2023, 61, 45.3, 81.6436, 15, 0, 359598, Yes
Sun Jun 4 02:14:01 PM CEST 2023, 63, 53.9, 83.4228, 15, 0, 1213784, Yes
Sun Jun 4 02:15:01 PM CEST 2023, 68, 45.1, 83.0046, 15, 0, 2069975, Yes
Sun Jun 4 02:16:01 PM CEST 2023, 66, 40.9, 83.5148, 15, 0, 2902975, Yes
Sun Jun 4 02:17:01 PM CEST 2023, 68, 27.7, 82.9079, 15, 0, 3773439, Yes
Sun Jun 4 02:18:01 PM CEST 2023, 69, 43.8, 83.5955, 15, 0, 4616558, Yes
Sun Jun 4 02:19:01 PM CEST 2023, 71, 24.4, 83.7611, 15, 0, 5488028, Yes
Sun Jun 4 02:20:01 PM CEST 2023, 72, 47.7, 83.0299, 15, 0, 6317182, Yes
Sun Jun 4 02:21:02 PM CEST 2023, 72, 26.2, 83.8572, 15, 0, 7148794, Yes
Sun Jun 4 02:22:01 PM CEST 2023, 74, 61.1, 83.466, 15, 0, 7908214, Yes
Sun Jun 4 02:23:01 PM CEST 2023, 74, 49.0, 83.4885, 15, 0, 8763636, Yes
Sun Jun 4 02:24:01 PM CEST 2023, 72, 45.6, 83.631, 15, 0, 9514510, Yes
Sun Jun 4 02:25:01 PM CEST 2023, 75, 61.4, 83.5582, 15, 0, 10385462, Yes
Sun Jun 4 02:26:01 PM CEST 2023, 74, 62.9, 83.3625, 15, 0, 11228808, Yes
Sun Jun 4 02:27:01 PM CEST 2023, 75, 28.6, 83.222, 15, 0, 12089449, Yes
Sun Jun 4 02:28:01 PM CEST 2023, 74, 49.4, 83.6098, 15, 0, 12912345, Yes
Sun Jun 4 02:29:01 PM CEST 2023, 75, 22.9, 83.1938, 15, 0, 13766714, Yes
Sun Jun 4 02:30:01 PM CEST 2023, 75, 45.6, 83.0512, 15, 0, 14601074, Yes
Sun Jun 4 02:31:01 PM CEST 2023, 76, 25.9, 83.0523, 15, 0, 15452806, Yes
Sun Jun 4 02:32:01 PM CEST 2023, 76, 46.8, 83.5741, 15, 0, 16275310, Yes
Sun Jun 4 02:33:01 PM CEST 2023, 80, 54.5, 83.8694, 15, 0, 17118538, Yes
Sun Jun 4 02:34:01 PM CEST 2023, 74, 45.9, 83.49, 15, 0, 17939576, Yes
Sun Jun 4 02:35:01 PM CEST 2023, 77, 24.4, 83.0607, 15, 0, 18803937, Yes
Sun Jun 4 02:36:01 PM CEST 2023, 78, 57.8, 83.5192, 15, 0, 19624662, Yes
Sun Jun 4 02:37:01 PM CEST 2023, 75, 45.5, 83.5164, 15, 0, 20476230, Yes
Sun Jun 4 02:38:02 PM CEST 2023, 75, 47.1, 83.5549, 15, 0, 21331401, Yes
Sun Jun 4 02:39:01 PM CEST 2023, 76, 52.1, 83.3509, 15, 0, 22183839, Yes
Sun Jun 4 02:40:01 PM CEST 2023, 76, 48.2, 83.6527, 15, 0, 23010125, Yes
Sun Jun 4 02:41:01 PM CEST 2023, 78, 46.7, 83.1492, 15, 0, 23879294, Yes
Sun Jun 4 02:42:01 PM CEST 2023, 79, 67.3, 83.4591, 15, 0, 24720800, Yes
Sun Jun 4 02:43:01 PM CEST 2023, 76, 29.8, 83.0819, 15, 0, 25577678, Yes
Sun Jun 4 02:44:01 PM CEST 2023, 78, 47.8, 82.9387, 15, 0, 26411078, Yes
Sun Jun 4 02:45:01 PM CEST 2023, 77, 26.2, 83.7017, 15, 0, 27272526, Yes
Sun Jun 4 02:46:01 PM CEST 2023, 77, 44.3, 82.7821, 15, 0, 28111647, Yes
Sun Jun 4 02:47:01 PM CEST 2023, 78, 43.3, 83.1828, 15, 0, 28968075, Yes
Sun Jun 4 02:48:01 PM CEST 2023, 78, 51.1, 83.0047, 15, 0, 29799148, Yes
Sun Jun 4 02:49:01 PM CEST 2023, 79, 47.7, 83.4237, 15, 0, 30669069, Yes
Sun Jun 4 02:50:02 PM CEST 2023, 78, 44.3, 82.9873, 15, 0, 31521502, Yes
Sun Jun 4 02:13:01 PM CEST 2023, 79, 65.9, 81.2631, 15, 0, 378018, Yes
Sun Jun 4 02:13:01 PM CEST 2023, 66, 26.7, 81.9467, 15, 0, 370059, Yes
Sun Jun 4 02:14:01 PM CEST 2023, 70, 61.6, 83.2618, 15, 0, 1209181, Yes
Sun Jun 4 02:15:01 PM CEST 2023, 71, 44.3, 82.9729, 15, 0, 2046210, Yes
Sun Jun 4 02:16:01 PM CEST 2023, 72, 61.8, 82.9929, 15, 0, 2877889, Yes
Sun Jun 4 02:17:01 PM CEST 2023, 74, 35.6, 83.5788, 15, 0, 3743089, Yes
Sun Jun 4 02:18:01 PM CEST 2023, 74, 43.8, 83.4957, 15, 0, 4585970, Yes
Sun Jun 4 02:19:01 PM CEST 2023, 74, 25.9, 83.2022, 15, 0, 5448781, Yes
Sun Jun 4 02:20:01 PM CEST 2023, 74, 58.5, 83.0857, 15, 0, 6279873, Yes
Sun Jun 4 02:21:01 PM CEST 2023, 75, 37.2, 83.1559, 15, 0, 7144045, Yes
Sun Jun 4 02:22:01 PM CEST 2023, 75, 68.7, 83.0649, 15, 0, 8001878, Yes
Sun Jun 4 02:23:01 PM CEST 2023, 74, 25.6, 82.9838, 15, 0, 8865767, Yes
Sun Jun 4 02:24:01 PM CEST 2023, 76, 61.3, 83.0805, 15, 0, 9706154, Yes
Sun Jun 4 02:25:01 PM CEST 2023, 75, 26.7, 82.814, 15, 0, 10570138, Yes
Sun Jun 4 02:26:01 PM CEST 2023, 75, 51.1, 83.4928, 15, 0, 11419611, Yes
Sun Jun 4 02:27:01 PM CEST 2023, 76, 27.1, 83.7614, 15, 0, 12293383, Yes
Sun Jun 4 02:28:01 PM CEST 2023, 76, 61.2, 83.5446, 15, 0, 13123949, Yes
Sun Jun 4 02:29:01 PM CEST 2023, 75, 24.7, 83.6728, 15, 0, 13986415, Yes
Sun Jun 4 02:30:01 PM CEST 2023, 77, 46.7, 83.5761, 15, 0, 14834989, Yes
Sun Jun 4 02:31:01 PM CEST 2023, 76, 24.7, 83.5488, 15, 0, 15705929, Yes
Sun Jun 4 02:32:01 PM CEST 2023, 80, 71.0, 83.5191, 15, 0, 16563949, Yes
Sun Jun 4 02:33:01 PM CEST 2023, 76, 22.4, 83.7462, 15, 0, 17382569, Yes
Sun Jun 4 02:34:01 PM CEST 2023, 77, 44.2, 82.9799, 15, 0, 18221551, Yes
Sun Jun 4 02:35:02 PM CEST 2023, 76, 22.6, 83.6937, 15, 0, 19082879, Yes
Sun Jun 4 02:36:01 PM CEST 2023, 79, 58.8, 83.0465, 15, 0, 19923239, Yes
Sun Jun 4 02:37:01 PM CEST 2023, 75, 31.0, 83.724, 15, 0, 20771643, Yes
Sun Jun 4 02:38:01 PM CEST 2023, 80, 40.2, 82.8813, 15, 0, 21641599, Yes
Sun Jun 4 02:39:01 PM CEST 2023, 78, 29.9, 83.7458, 15, 0, 22486159, Yes
Sun Jun 4 02:40:01 PM CEST 2023, 78, 46.6, 83.6283, 15, 0, 23346011, Yes
Sun Jun 4 02:41:01 PM CEST 2023, 78, 25.3, 82.7605, 15, 0, 24233160, Yes
Sun Jun 4 02:42:01 PM CEST 2023, 84, 70.2, 82.6471, 15, 0, 24635184, Yes
Sun Jun 4 02:43:01 PM CEST 2023, 85, 66.3, 81.1627, 15, 0, 24898990, Yes
Sun Jun 4 02:44:01 PM CEST 2023, 84, 69.8, 80.0026, 15, 0, 25167766, Yes
Sun Jun 4 02:45:01 PM CEST 2023, 85, 68.3, 78.4014, 15, 0, 25451756, Yes
Sun Jun 4 02:46:01 PM CEST 2023, 84, 68.2, 77.1967, 15, 0, 25726262, Yes
Sun Jun 4 02:47:01 PM CEST 2023, 84, 71.7, 75.8626, 15, 0, 25970768, Yes
Sun Jun 4 02:48:01 PM CEST 2023, 85, 69.6, 74.9371, 15, 0, 26197678, Yes
Sun Jun 4 02:49:01 PM CEST 2023, 84, 70.1, 73.3484, 15, 0, 26422818, Yes
Sun Jun 4 02:50:01 PM CEST 2023, 84, 69.8, 72.2281, 15, 0, 26635174, Yes
Sun Jun 4 02:51:02 PM CEST 2023, 84, 70.6, 70.6186, 15, 0, 26866154, Yes
Sun Jun 4 02:52:01 PM CEST 2023, 85, 72.0, 69.4946, 15, 0, 27080929, Yes
Sun Jun 4 02:53:01 PM CEST 2023, 84, 71.5, 67.8832, 15, 0, 27320606, Yes
Sun Jun 4 02:54:02 PM CEST 2023, 86, 72.0, 66.7604, 15, 0, 27553094, Yes
Sun Jun 4 02:55:01 PM CEST 2023, 85, 73.7, 65.0565, 15, 0, 27803022, Yes
Sun Jun 4 02:56:02 PM CEST 2023, 85, 72.9, 64.0622, 15, 0, 28050504, Yes
Sun Jun 4 02:57:02 PM CEST 2023, 84, 72.0, 62.2396, 15, 0, 28323578, Yes
Sun Jun 4 02:58:02 PM CEST 2023, 84, 74.2, 61.1672, 15, 0, 28594928, Yes
Sun Jun 4 02:59:02 PM CEST 2023, 85, 73.1, 59.5434, 15, 0, 28887996, Yes
Sun Jun 4 03:00:02 PM CEST 2023, 85, 74.6, 58.3836, 15, 0, 29172382, Yes
Sun Jun 4 03:01:02 PM CEST 2023, 84, 74.5, 56.8807, 15, 0, 29487500, Yes
Sun Jun 4 03:02:02 PM CEST 2023, 84, 74.7, 55.7684, 15, 0, 29797346, Yes
Sun Jun 4 03:03:02 PM CEST 2023, 85, 75.6, 53.9201, 15, 0, 30130723, Yes
Sun Jun 4 03:04:02 PM CEST 2023, 85, 75.1, 53.0537, 15, 0, 30460970, Yes
Sun Jun 4 03:05:02 PM CEST 2023, 84, 74.0, 51.2697, 15, 0, 30839997, Yes
Sun Jun 4 03:57:34 PM CEST 2023, 84, 71.0, 47.8018, 15, 1, 33048152, Yes
Sun Jun 4 03:58:01 PM CEST 2023, 85, 74.8, 49.0549, 15, 1, 34640909, Yes
Sun Jun 4 03:59:02 PM CEST 2023, 85, 75.4, 49.0964, 15, 1, 35121912, Yes
Sun Jun 4 04:00:02 PM CEST 2023, 84, 75.3, 49.2099, 15, 1, 36001832, Yes
Sun Jun 4 04:04:00 PM CEST 2023, 81, 72.3, 77.8948, 15, Sun Jun 4 04:04:05 PM CEST 2023, 81, 65.5, 75.7221, 15, 1, 1247983, Yes
Sun Jun 4 04:04:06 PM CEST 2023, 83, 68.9, 74.8151, 15, 1, 1817747, Yes
1, 2354286, Yes
Sun Jun 4 04:05:02 PM CEST 2023, 82, 43.5, 76.9294, 15, 1, 4849234, Yes
Sun Jun 4 04:06:01 PM CEST 2023, 83, 68.6, 77.9926, 15, 1, 5782209, Yes
Sun Jun 4 04:07:01 PM CEST 2023, 79, 25.3, 78.4346, 15, 1, 6679321, Yes
Sun Jun 4 04:08:01 PM CEST 2023, 78, 46.9, 77.5231, 15, 1, 12891008, Yes
