Date, Serial Port, Plant Alarm, Pump Alarm, Soil Moisture, Light
Sun Jun 4 01:34:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 01:38:01 PM CEST 2023, ttyACM0, 0,1,1,81
Sun Jun 4 01:32:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 01:34:01 PM CEST 2023, ttyACM0, 0,1,3,81
Sun Jun 4 01:36:01 PM CEST 2023, ttyACM0, 0,1,1,81
Sun Jun 4 01:38:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 01:40:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 01:42:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 01:44:01 PM CEST 2023, ttyACM0, 0,1,2,81
Sun Jun 4 01:56:01 PM CEST 2023, ttyACM0, 0,1,1,80
Sun Jun 4 01:58:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 02:00:01 PM CEST 2023, ttyACM0, 0,1,2,82
Sun Jun 4 02:02:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 02:04:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 02:06:01 PM CEST 2023, ttyACM0, 0,1,1,81
Sun Jun 4 02:08:01 PM CEST 2023, ttyACM0, 0,1,2,81
Sun Jun 4 02:10:01 PM CEST 2023, ttyACM0, 0,1,1,81
Sun Jun 4 02:12:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 02:14:01 PM CEST 2023, ttyACM0, 0,1,1,63
Sun Jun 4 02:16:01 PM CEST 2023, ttyACM0, 0,0,0,73
Sun Jun 4 02:18:01 PM CEST 2023, ttyACM0, 0,1,1,77
Sun Jun 4 02:20:01 PM CEST 2023, ttyACM0, 0,1,7,82
Sun Jun 4 02:22:01 PM CEST 2023, ttyACM0, 0,1,0,83
Sun Jun 4 02:24:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 02:26:01 PM CEST 2023, ttyACM0, 0,1,0,83
Sun Jun 4 02:28:01 PM CEST 2023, ttyACM0, 0,1,15,82
Sun Jun 4 02:30:01 PM CEST 2023, ttyACM0, 0,1,8,82
Sun Jun 4 02:32:01 PM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 02:34:01 PM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 02:36:01 PM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 02:38:02 PM CEST 2023, ttyACM0, 0,1,1,83
Sun Jun 4 02:40:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 02:42:01 PM CEST 2023, ttyACM0, 0,1,31,82
Sun Jun 4 02:44:01 PM CEST 2023, ttyACM0, 0,1,0,82
Sun Jun 4 02:46:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 02:48:01 PM CEST 2023, ttyACM0, 0,1,0,82
Sun Jun 4 02:50:02 PM CEST 2023, ttyACM0, 0,0,11,60
Sun Jun 4 02:14:01 PM CEST 2023, ttyACM0, 0,1,1,77
Sun Jun 4 02:16:01 PM CEST 2023, ttyACM0, 0,1,1,80
Sun Jun 4 02:18:01 PM CEST 2023, ttyACM0, 0,1,1,81
Sun Jun 4 02:20:01 PM CEST 2023, ttyACM0, 0,1,1,81
Sun Jun 4 02:22:01 PM CEST 2023, ttyACM0, 0,1,1,81
Sun Jun 4 02:24:01 PM CEST 2023, ttyACM0, 0,1,1,82
Sun Jun 4 02:26:01 PM CEST 2023, ttyACM0, 0,1,1,81
Sun Jun 4 02:28:01 PM CEST 2023, ttyACM0, 0,1,1,81
Sun Jun 4 02:30:01 PM CEST 2023, ttyACM0, 0,1,1,81
Sun Jun 4 02:32:01 PM CEST 2023, ttyACM0, 0,1,1,
Sun Jun 4 02:34:01 PM CEST 2023, ttyACM0, 0,1,2,81
Sun Jun 4 02:36:01 PM CEST 2023, ttyACM0, 0,1,1,81
Sun Jun 4 02:38:01 PM CEST 2023, ttyACM0, 0,1,1,80
Sun Jun 4 02:40:01 PM CEST 2023, ttyACM0, 0,1,1,80
Sun Jun 4 03:58:02 PM CEST 2023, ttyACM0, ,,,
Sun Jun 4 04:04:00 PM CEST 2023, ttyACM0, 0,1,1,80
Sun Jun 4 04:04:06 PM CEST 2023, ttyACM0, 0,1,1,80
Sun Jun 4 04:06:01 PM CEST 2023, ttyACM0, 0,1,1,80
Sun Jun 4 04:08:01 PM CEST 2023, ttyACM0, 0,1,1,80
